Tweet,Num_Favorites,Num_Retweets,Num_Followers,Created_At,id
"The beginning of all things – wonder, hope, possibilities and a better world! We are proud to welcome our son &amp; Gracia’s little brother - Rio Raina. May he flows beyond boundaries, bringing peace, renewal &amp; prosperity to everyone’s life. https://t.co/SLR9FPutdx",126817,9254,17352116,2020-03-23 09:56:58,1242027551645630464
"This video makes me so sad! I can’t stop thinking about this lady

She knew making this video could get her killed but she made it anyway

The Communist Chinese Government should be held accountable for this Virus &amp; for the way they treat their people

https://t.co/5UAFw83jum",10087,5250,811306,2020-03-23 10:10:41,1242031002286878720
"We sent dozens of photographers to capture once-bustling public places around the world – beaches, fairgrounds, restaurants, movie theaters, tourist spots and train stations – that are now empty amid the coronavirus pandemic https://t.co/NZZRall1Rs",11090,5818,45883055,2020-03-23 11:00:05,1242043433541386241
"The first requirement for prayer is faith, the second is perseverance, and the third is courage. In these days when we need to pray more, let us ask ourselves if we pray like this. The Lord never deludes! He makes us wait, but He never deludes. #HomilySantaMarta",36583,8506,18242231,2020-03-23 11:35:38,1242052379496890380
"Robert, we will end up stronger than ever before. Thank you! https://t.co/4UfMaCmkg5",59075,12536,75463787,2020-03-23 11:59:50,1242058470742020096
i'd like to make it with you,62858,23454,802463,2020-03-23 12:17:09,1242062830603386881
THIS is why Pelosi &amp; the radical Dems tanked the relief bill. They want all kinds of unrelated liberal wish list stocking stuffers inserted into this bill &amp; they DON’T GIVE A DAMN if your business collapses in the process. #FACT 👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻 https://t.co/JPVzWkHmNx,11875,5033,1578512,2020-03-23 12:47:34,1242070481601208320
"Today Jesus speaks those same words to you: “Take heart, I am here with you, allow me to enter and your life will change!” #Lent",26527,5266,18242231,2020-03-23 13:00:00,1242073612296675330
"STRONG &amp; UNITED, WE WILL PREVAIL! GOD BLESS THE USA!!
https://t.co/T6UCyaPRIy",150183,33685,75463787,2020-03-23 13:07:55,1242075604952002573
"Just a reminder: if the bailout money is not carefully guarded, Trump will shovel it into his own pockets. https://t.co/z2AUtvlRwv",19575,6624,850784,2020-03-23 13:22:39,1242079311882059776
"One thing I specially requested all media houses to do is to keep reiterating the importance of social distancing and being indoors. 

I urge them to keep stating- #StayHome.",95116,18144,54475116,2020-03-23 13:28:40,1242080827183214592
"We need to put families first, not corporations.

A $500 billion slush fund where states have to compete with big businesses?

Controlled by Secretary Mnuchin with no oversight, transparency, or protections for taxpayers?

That should be unacceptable to everyone. https://t.co/BsJwjgOCy9",59533,19699,2122637,2020-03-23 13:55:24,1242087554528223233
THIS IS WHY WE NEED BORDERS!,393053,66162,75463764,2020-03-23 14:16:00,1242092738973249536
"The New York Times changed headlines 3 times in order to satisfy the Radical Left. What should have been a good story got “worse &amp; worse”, until the headline alone made it very unfair. Fake &amp; Corrupt News that is very dangerous for our Country!",163844,39000,75463764,2020-03-23 14:28:42,1242095933296443395
"Called upon industry leaders to continue following work from home as much as possible in these times. 

Unless very very important, please do #StayHome.",61190,10350,54475116,2020-03-23 14:28:45,1242095947884068865
"NEW:

Dems have found a measure that Rs buried in the stimulus that would restrict small business money from going to a range of health care providers that take Medicaid.

This includes providers for the disabled and even rape crisis centers.

New piece:

https://t.co/RAG9APiHp7",18603,14936,263533,2020-03-23 14:39:34,1242098670759219200
"Ten years ago today, I signed the Affordable Care Act into law. It protected preexisting conditions, cut the uninsured rate in half, and lots more. But it's still under political attack right when we need care the most. We have to protect it, build on it, until we cover everyone. https://t.co/zz2v3DzMgq",356228,61677,114869842,2020-03-23 14:41:49,1242099236231053314
"Happy Birthday MINA

#HappyMINAday https://t.co/2BSNKm5WUN",210369,75065,5041139,2020-03-23 15:00:02,1242103819560869893
A great early result from a drug that will start tomorrow in New York and other places! #COVIDー19 https://t.co/4F4Qk4WFtK,177803,57241,75463764,2020-03-23 16:05:53,1242120391054757900
"So Democrats agreed to the bailout bill in theory but only changed their minds when they figured out that five GOP senators would not be able to vote on it because they were self quarantining. 

Sick even by todays Democrat standards.",31892,10620,4697940,2020-03-23 16:21:03,1242124209117151234
"Democrats trying to cram in tax breaks for solar panels &amp; emissions standards for airlines into a relief bill that would help millions of Americans tells you all you need to know about the Democrat party &amp; their “priorities.” 

This is not your grandparents Democrat party!!!",44874,16535,4697940,2020-03-23 16:23:44,1242124884039393285
"Me trying to understand how some of you are ""quarantining"" with different people in your Instagram stories every day https://t.co/ZEiMo2y7a0",100829,20815,22944,2020-03-23 16:40:02,1242128984793645059
Can Vice President Biden explain why the Obama administration did not order the N95 masks to replace the 100 million used in the Asian Flu epidemic. Experts advised replacing them but Obama-Biden team failed to buy them. Shortage starts with them. Explain it Joe!,62234,27777,2222479,2020-03-23 16:49:05,1242131264884355073
